Iter     Function value   Gradient norm 
   163     8.214019e+04     1.851556e+00
   164     8.214018e+04     2.936747e+00
   165     8.214017e+04     1.933305e+00
   166     8.214016e+04     2.164664e+00
   167     8.214013e+04     3.261363e+00
   168     8.214011e+04     2.883776e+00
   169     8.214007e+04     2.395031e+00
   170     8.214002e+04     2.444551e+00
   171     8.213997e+04     5.867010e+00
   172     8.213992e+04     6.405087e+00
   173     8.213988e+04     5.917391e+00
   174     8.213984e+04     5.356699e+00
   175     8.213980e+04     4.089039e+00
   176     8.213977e+04     2.893097e+00
   177     8.213976e+04     2.603070e+00
   178     8.213973e+04     4.056623e+00
   179     8.213970e+04     2.345448e+00
   180     8.213967e+04     2.486767e+00
   181     8.213965e+04     2.734779e+00
   182     8.213963e+04     2.344990e+00
   183     8.213961e+04     1.954168e+00
   184     8.213959e+04     2.191873e+00
   185     8.213957e+04     2.295394e+00
   186     8.213953e+04     4.267293e+00
   187     8.213947e+04     7.449171e+00
   188     8.213942e+04     1.815535e+01
   189     8.213938e+04     3.145263e+01
   190     8.213929e+04     1.649405e+01
   191     8.213910e+04     1.952329e+01
   192     8.213890e+04     2.472133e+01
   193     8.213860e+04     1.564442e+01
   194     8.213847e+04     3.158630e+01
   195     8.213812e+04     2.455018e+01
   196     8.213781e+04     3.020512e+01
   197     8.213743e+04     1.738036e+01
   198     8.213719e+04     3.760394e+01
   199     8.213693e+04     3.547693e+01
   200     8.213669e+04     2.150520e+01
   201     8.213647e+04     1.561292e+01
   202     8.213626e+04     9.575955e+00
   203     8.213606e+04     1.197875e+01
   204     8.213588e+04     1.310276e+01
   205     8.213568e+04     1.511921e+01
   206     8.213551e+04     1.468547e+01
   207     8.213533e+04     1.373909e+01
   208     8.213515e+04     1.294332e+01
   209     8.213497e+04     1.176877e+01
   210     8.213478e+04     8.014101e+00
   211     8.213461e+04     8.161362e+00
   212     8.213444e+04     2.861962e+00
   213     8.213430e+04     5.359933e+00
   214     8.213414e+04     2.758653e+00
   215     8.213402e+04     3.693751e+00
   216     8.213388e+04     4.568724e+00
   217     8.213377e+04     5.697641e+00
   218     8.213366e+04     6.717292e+00
   219     8.213356e+04     1.055867e+01
   220     8.213348e+04     1.070667e+01
   221     8.213336e+04     1.006734e+01
